Player,Season,Team,Position,GP,TOI,TM #,TOI/GP,TOI%,RAPM_CA/60,RAPM_xGA/60,GAR/60,xGAR/60
Dakota Joshua,22-23,VAN,C,79,813.82,37,14.08,28.21,-1.61,-0.077,-0.05,-0.01
Dakota Joshua,23-24,VAN,C,63,749.08,27,14.39,29.38,3.02,0.154,0.39,0.37
Dakota Joshua,24-25,VAN,C,57,667.87,34,14.82,29.42,1.22,0.048,0.19,0.27
Dakota Joshua,25-26,TOR,C,36,407.07,25,14.32,28.27,-1.21,-0.031,0.21,0.19
Dalibor Dvorsky,25-26,STL,R,30,358.03,28,14.85,29.36,-0.67,-0.007,0.05,0.07
Daniel O'Regan,21-22,ANA,C,5,50.28,23,14.49,28.5,-0.9,-0.041,0.01,0.06
Daniel Sprong,21-22,SEA,R,16,184.52,22,13.93,27.68,0.85,-0.025,0.16,0.11
Daniel Sprong,21-22,WSH,R,47,546.15,30,14.45,28.81,0.89,0.03,0.23,0.26
Daniel Sprong,22-23,SEA,R,66,619.58,25,13.93,27.92,0.15,0.03,0.31,0.24
Daniel Sprong,23-24,DET,R,76,762.82,23,13.76,27.81,-1.81,-0.04,0.13,0.14
Daniel Sprong,24-25,N.J,R,11,118.28,25,14.14,28.01,0.58,-0.001,0.15,0.11
Daniel Sprong,24-25,SEA,R,10,100.45,21,14.9,29.57,-1.31,-0.096,0.07,0.04
Daniel Sprong,24-25,VAN,R,9,87.53,21,14.64,29.18,0.55,0.034,0.22,0.25
Daniil but,25-26,UTA,L,13,140.7,22,14.27,28.9,2.13,0.092,0.34,0.19
Danil Gushchin,23-24,S.J,L,4,56.52,25,14.62,29.05,-3.58,-0.17,-0.08,-0.1
Danil Gushchin,24-25,S.J,L,12,129.15,29,14.4,29.01,-2.04,-0.115,-0.01,-0.04
Danila Yurov,25-26,MIN,R,33,387.47,27,15.01,29.82,-0.94,0.031,0.19,0.13
Danton Heinen,21-22,PIT,L,76,869.35,28,14.83,29.13,1.24,0.068,0.22,0.22
Danton Heinen,22-23,PIT,L,65,642.73,31,13.83,28.21,0.62,0.038,0.12,0.11
Danton Heinen,23-24,BOS,L,74,949.48,30,14.66,29.47,-0.36,0.025,0.25,0.22
Danton Heinen,24-25,PIT,L,28,321.78,30,14.05,27.69,0.2,-0.01,0.06,0.14
Danton Heinen,24-25,VAN,L,51,595.22,29,14.39,28.59,0.42,-0.022,0.16,0.19
Danton Heinen,25-26,PIT,L,13,137.07,27,14.1,27.8,1.87,0.038,0.1,0.12
Darren Helm,21-22,COL,C,68,578.7,33,13.38,27.21,0.34,0.005,0.15,0.15
Darren Helm,22-23,COL,C,11,82.78,25,13.74,27.69,0.41,-0.019,0.12,0.14
David Gust,22-23,CHI,R,4,50.67,22,13.87,27.47,-0.97,-0.036,-0.02,0.03
David Gustafsson,22-23,WPG,C,46,385.78,29,13.19,26.89,1.16,0.047,0.16,0.23
David Gustafsson,23-24,WPG,C,39,327.02,26,13.12,26.44,0.87,0.029,0.14,0.16
David Gustafsson,24-25,WPG,C,36,313.8,28,13.6,26.55,1.24,0.069,0.19,0.18
David Kampf,21-22,TOR,C,82,1016.62,33,14.41,28.5,2.36,0.083,0.27,0.33
David Kampf,22-23,TOR,C,82,1011.87,41,13.87,27.98,1.45,0.098,0.24,0.33
David Kampf,23-24,TOR,C,78,838.9,29,13.74,27.28,-0.14,-0.014,0.09,0.07
David Kampf,24-25,TOR,C,59,595.92,28,13.82,27.57,-0.1,0.015,0.18,0.16
David Kampf,25-26,VAN,C,17,219.78,25,15.09,30.87,-1.3,-0.069,-0.02,-0.01
David Krejci,22-23,BOS,C,70,972.78,31,14.9,30.77,1.9,0.096,0.48,0.51
David Pastrnak,21-22,BOS,R,72,1038.1,29,14.83,30.05,2.99,0.168,0.51,0.4
David Pastrnak,22-23,BOS,R,82,1229.02,32,14.65,30.3,0.34,0.018,0.42,0.23
David Pastrnak,23-24,BOS,R,82,1272.22,30,14.88,29.92,-0.33,0,0.26,0.21
David Pastrnak,24-25,BOS,R,82,1308.75,38,15.21,30.37,-1.01,0,0.3,0.22
David Pastrnak,25-26,BOS,R,35,533.45,27,14.47,29.89,-0.76,-0.061,0.17,0.12
David Perron,21-22,STL,L,67,926.35,29,15.34,30.59,-0.41,-0.031,0.19,0.16
David Perron,22-23,DET,L,82,1052.98,30,14.63,29.59,-0.97,-0.029,0.13,0.07
David Perron,23-24,DET,L,76,922.35,23,14.74,29.76,-0.79,-0.033,0.22,0.24
David Perron,24-25,OTT,L,43,501.17,30,14.92,30.4,0.39,0.013,0.19,0.14
David Perron,25-26,OTT,L,38,441.63,25,14.97,30.06,1.05,0.049,0.2,0.19
David Tomasek,25-26,EDM,R,22,195.5,25,14.08,27.55,-0.55,-0.013,0.09,0.1
Dawson Mercer,21-22,N.J,C,82,1152.13,33,15.13,29.74,0.72,0.045,0.23,0.23
Dawson Mercer,22-23,N.J,C,82,1104.83,26,14.89,29.52,2.64,0.154,0.34,0.32
Dawson Mercer,23-24,N.J,C,82,1125.22,32,14.52,29.45,0.94,0.044,0.17,0.2
Dawson Mercer,24-25,N.J,C,82,1148.13,32,15.07,29.91,1.76,0.075,0.16,0.21
Dawson Mercer,25-26,N.J,C,38,548.8,27,15.66,30.67,1.29,0.015,0.12,0.15
Denis Gurianov,21-22,DAL,R,73,882.1,26,15.18,30.14,-0.62,-0.017,0.07,0.08
Denis Gurianov,22-23,DAL,R,43,473.27,21,14.2,28.62,0.78,0.041,0.13,0.19
Denis Gurianov,22-23,MTL,R,23,309.55,29,14.4,29.05,-1.96,-0.108,-0.07,0.01
Denis Gurianov,23-24,NSH,R,14,162.12,22,14.23,29.15,1.45,0.082,0.1,0.2
Denis Malgin,22-23,COL,C,42,423.2,27,14.98,30.11,1.1,0.029,0.21,0.21
Denis Malgin,22-23,TOR,C,23,241.08,27,14.25,28.86,0.46,0.062,0.24,0.22
Derek Grant,21-22,ANA,C,71,794.18,33,14.59,28.69,-0.61,-0.039,0.03,0.06
Derek Grant,22-23,ANA,C,46,511.57,29,14.08,28.14,-3.39,-0.188,-0.11,-0.15
Derek Ryan,21-22,EDM,C,75,715.23,32,13.56,27.06,0.42,-0.018,0.12,0.06
Derek Ryan,22-23,EDM,C,80,779.63,28,13.38,27.19,0.59,0.038,0.15,0.14
Derek Ryan,23-24,EDM,C,70,591.17,26,13.47,26.92,1.55,0.093,0.11,0.19
Derek Ryan,24-25,EDM,C,36,320.83,25,13.72,27.01,0.92,0.028,0.09,0.15
Derek Stepan,21-22,CAR,C,58,561.82,27,13.52,27.61,2.66,0.08,0.21,0.28
Derek Stepan,22-23,CAR,C,73,608.07,24,13.28,26.87,4.3,0.212,0.31,0.29
Derick Brassard,21-22,EDM,C,15,146.2,21,14.27,28.43,0.08,-0.016,0.18,0.02
Derick Brassard,21-22,PHI,C,31,362.38,28,15.11,30.36,-1.79,-0.068,0.17,0.12
Derick Brassard,22-23,OTT,C,62,613.87,31,13.59,28.6,0.6,0.046,0.15,0.1
Devin Shore,21-22,EDM,C,49,407.55,30,13.56,27.07,1.13,0.012,0.17,0.16
Devin Shore,22-23,EDM,C,47,403.92,27,13.14,26.68,1.84,0.115,0.29,0.33
Devin Shore,23-24,SEA,C,21,167.75,25,13.63,27.07,1.42,0.02,0.16,0.22
Devin Shore,24-25,MIN,C,55,463.8,29,13.51,26.44,-2.07,-0.054,-0.06,-0.05
Dillon Dube,21-22,CGY,C,79,876.95,27,14.13,28.34,2.68,0.07,0.21,0.23
Dillon Dube,22-23,CGY,C,82,1012.67,28,14.74,29.93,3.81,0.142,0.25,0.33
Dillon Dube,23-24,CGY,C,43,417.73,23,13.89,28.04,0.1,-0.025,0.09,0.11
Dmitri Voronkov,23-24,CBJ,L,75,827.05,33,14.84,29.46,-0.49,-0.07,0.12,0.16
Dmitri Voronkov,24-25,CBJ,L,73,1039.87,30,16.28,31.6,0.2,0.024,0.31,0.37
Dmitri Voronkov,25-26,CBJ,L,38,485.05,25,16.18,31.62,1.01,0.034,0.22,0.33
Dmitrij Jaskin,21-22,ARI,R,12,158.48,23,14.99,29.75,-1.6,-0.084,0.05,0.06
Dominic James,25-26,T.B,C,23,255.03,25,13.48,28,0.83,0.064,0.35,0.27
Dominic Toninato,21-22,WPG,C,77,525.82,34,13.38,26.71,-0.75,-0.024,-0.05,-0.01
Dominic Toninato,23-24,WPG,C,15,149.15,19,13.61,27.39,1.34,0.056,0.19,0.21
Dominik Kubalik,21-22,CHI,L,78,983.48,36,14.81,29.38,-1.37,-0.03,0.12,0.12
Dominik Kubalik,22-23,DET,L,81,976.58,30,14.58,29.49,-0.43,-0.019,0.13,0.14
Dominik Kubalik,23-24,OTT,L,74,747.53,30,13.95,28.35,-0.3,0.001,0.16,0.11
Dominik Shine,24-25,DET,R,9,77.2,23,13.96,27.23,-0.93,-0.041,0.05,0
Dominik Simon,21-22,ANA,C,17,204.2,23,14.34,28.14,-1.13,-0.034,0.05,0.05
Dominik Simon,21-22,PIT,C,55,502.35,26,13.96,27.41,1.17,0.073,0.3,0.25
Drake Batherson,21-22,OTT,C/R,46,690.73,33,15.83,31.89,-0.11,-0.037,0.21,0.12
Drake Batherson,22-23,OTT,R,82,1170.3,33,14.91,31.4,1.06,0.05,0.17,0.15
Drake Batherson,23-24,OTT,R,82,1203.6,30,15.34,31.11,1.4,0.066,0.22,0.23
Drake Batherson,24-25,OTT,R,82,1154.77,30,14.74,30.07,0.99,0.03,0.21,0.18
Drake Batherson,25-26,OTT,R,35,508.93,25,14.76,29.7,0.92,0.068,0.27,0.25
Drake Caggiula,21-22,BUF,C,18,228.9,21,14.45,28.35,-0.36,-0.048,0.1,0.14
Drake Caggiula,24-25,EDM,L,7,50.22,21,13.03,25.63,0.76,0.008,0.11,0.11
Drew O'Connor,21-22,PIT,L,22,203.7,26,13.63,26.73,1.19,0.073,0.26,0.23
Drew O'Connor,22-23,PIT,L,46,421.17,30,13.56,27.68,0.67,0.052,0.17,0.1
Drew O'Connor,23-24,PIT,L,79,1080.5,33,15.12,30.61,1.47,0.066,0.22,0.24
Drew O'Connor,24-25,PIT,L,53,660.87,29,14.57,28.71,0.55,0.007,0.13,0.15
Drew O'Connor,24-25,VAN,L,31,395.48,27,14.82,29.37,0.57,0.025,0.09,0.2
Drew O'Connor,25-26,VAN,L,38,447,32,14.16,28.98,-0.75,-0.088,0.01,-0.05
Dryden Hunt,21-22,NYR,L,76,897.92,30,14.87,29.36,-1.32,-0.054,0.05,0.06
Dryden Hunt,22-23,COL,L,25,193.93,31,13.13,26.53,0.37,0.036,0.07,0.12
Dryden Hunt,22-23,TOR,L,9,75.78,21,13.63,27.57,0.21,0.045,0.21,0.23
Dryden Hunt,23-24,CGY,L,28,303.37,31,14.25,28.59,0.17,-0.025,0.05,0.18
Dryden Hunt,24-25,CGY,L,5,57.53,24,14.72,29.14,0.7,-0.007,0.1,0.07
Dustin Brown,21-22,L.A,L/R,64,791.93,34,14.92,29.76,1.5,0.06,0.16,0.14
Dylan Cozens,21-22,BUF,C,79,1045.42,31,14.84,29.2,-0.11,-0.058,0.04,0.09
Dylan Cozens,22-23,BUF,C,81,980.28,27,14.77,29.52,0.22,-0.012,0.13,0.1
Dylan Cozens,23-24,BUF,C,79,1020.3,29,15.03,30.16,0.8,0,0.26,0.26
Dylan Cozens,24-25,BUF,C,61,828.42,24,14.8,29.74,0.77,-0.024,0.27,0.2
Dylan Cozens,24-25,OTT,C,21,270.65,22,14.6,29.81,-0.08,-0.003,0.14,0.11
Dylan Cozens,25-26,OTT,C,38,525.05,25,14.69,29.52,0.51,0.07,0.27,0.26
Dylan Gambrell,21-22,OTT,C,63,664.13,33,13.9,27.95,-0.6,-0.037,0.04,0.07
Dylan Gambrell,22-23,OTT,C,60,546.68,33,12.87,27.03,0.34,0.016,0.09,0.06
Dylan Guenther,22-23,ARI,R,33,364.45,24,14.04,28.72,-1.16,-0.049,0.09,0.1
Dylan Guenther,23-24,ARI,R,45,537.9,30,14.45,29.27,-0.76,-0.014,0.12,0.14
Dylan Guenther,24-25,UTA,R,70,907.47,26,14.89,29.63,1.28,0.049,0.23,0.25
Dylan Guenther,25-26,UTA,R,40,515.4,25,14.79,29.95,1.5,0.073,0.36,0.34
Dylan Holloway,22-23,EDM,L,51,451.1,25,13.45,27.33,1.82,0.124,0.15,0.26
Dylan Holloway,23-24,EDM,L,38,420.7,25,13.93,27.86,2.52,0.134,0.19,0.29
Dylan Holloway,24-25,STL,L,77,1120.87,27,15.56,30.14,-0.58,-0.006,0.27,0.27
Dylan Holloway,25-26,STL,L,33,494.55,25,15.16,29.92,-0.53,0.03,0.12,0.19
Dylan Larkin,21-22,DET,C,71,1105.65,32,15.52,30.74,-0.54,-0.038,0.07,0.1
Dylan Larkin,22-23,DET,C,80,1085.3,30,14.71,29.78,-0.74,-0.052,0.11,0.12
Dylan Larkin,23-24,DET,C,68,1002.43,22,15.01,30.31,-0.39,-0.034,0.23,0.27
Dylan Larkin,24-25,DET,C,82,1229.7,25,15.63,30.51,0.84,0.046,0.18,0.2
Dylan Larkin,25-26,DET,C,40,595.2,23,15.93,31.53,0.77,0.052,0.25,0.25
Dylan Strome,21-22,CHI,C,69,988.6,36,15.89,31.47,-1.16,-0.056,0.19,0.12
Dylan Strome,22-23,WSH,C,81,1071.58,33,14.87,29.67,-0.41,-0.007,0.13,0.18
Dylan Strome,23-24,WSH,C,82,1197.78,31,14.98,29.66,-1.02,-0.029,0.04,0.01
Dylan Strome,24-25,WSH,C,82,1143.85,26,15.08,29.88,0.6,0.023,0.3,0.33
Dylan Strome,25-26,WSH,C,37,533.2,23,14.92,30.16,0.93,0.049,0.31,0.35
Easton Cowan,25-26,TOR,R,27,338.13,25,15.14,29.88,-1.18,-0.011,0.31,0.25
Eeli Tolvanen,21-22,NSH,R,75,845.1,29,14.37,29.44,-1.06,-0.028,0.21,0.1
Eeli Tolvanen,22-23,NSH,R,13,130.98,22,14.21,29.07,0.95,0.059,0.17,0.18
Eeli Tolvanen,22-23,SEA,R,48,595.22,22,15.12,30.27,2.43,0.035,0.29,0.24
Eeli Tolvanen,23-24,SEA,R,81,1042.78,28,15.21,30.19,2.34,0.053,0.13,0.13
Eeli Tolvanen,24-25,SEA,R,81,1030.15,29,14.85,29.46,-0.74,-0.051,0.22,0.15
Eeli Tolvanen,25-26,SEA,R,37,481.95,25,15.45,30.36,-2.26,-0.151,-0.07,-0.07
Eetu Luostarinen,21-22,FLA,C,78,882.87,33,14.08,28.46,3.32,0.158,0.32,0.39
Eetu Luostarinen,22-23,FLA,C,82,1026.5,28,14.34,29.99,2.08,0.083,0.22,0.25
Eetu Luostarinen,23-24,FLA,C,82,1003.18,27,14.07,29.29,2.91,0.041,0.1,0.14
Eetu Luostarinen,24-25,FLA,C,80,1003.07,28,14.8,29.67,2.26,0.102,0.23,0.26
Eetu Luostarinen,25-26,FLA,C,30,382.77,22,14.98,31.25,0.8,0.041,0.22,0.26
Egor Afanasyev,22-23,NSH,L,17,179.62,24,13.28,26.99,-1.54,-0.034,0.01,-0.06
Egor Sokolov,21-22,OTT,L,8,75.73,27,13.58,27.4,-0.3,-0.022,0.04,0.05
Elias Lindholm,21-22,CGY,C,82,1191.53,27,15.65,31.42,5.2,0.23,0.67,0.66
Elias Lindholm,22-23,CGY,C,80,1037.3,28,14.63,29.7,3.67,0.134,0.31,0.43
Elias Lindholm,23-24,CGY,C,49,697.65,27,15.02,30.23,0.75,-0.015,0.14,0.26
Elias Lindholm,23-24,VAN,C,26,335.42,22,14.59,29.81,2.57,0.097,0.35,0.37
Elias Lindholm,24-25,BOS,C,82,1042.85,38,14.85,29.65,-0.37,-0.001,0.16,0.16
Elias Lindholm,25-26,BOS,C,30,385.92,27,14.83,30.67,-0.25,-0.038,0.26,0.32
Elias Pettersson,21-22,VAN,C,80,1138.22,31,15.15,30.12,1.4,0.019,0.17,0.17
Elias Pettersson,22-23,VAN,C,80,1139.65,37,14.81,29.7,0.29,-0.017,0.27,0.25
Elias Pettersson,23-24,VAN,C,82,1125.03,28,14.6,29.81,2.23,0.075,0.34,0.36
Elias Pettersson,24-25,VAN,C,64,913.1,33,15.1,29.98,0.37,0.027,0.16,0.22
Elias Pettersson,25-26,VAN,C,30,426.28,31,15.44,31.65,-0.41,-0.053,0.04,-0.08
Elmer Soderblom,22-23,DET,L,21,226.47,25,13.99,28.33,-1.99,-0.06,0.09,0.03
Elmer Soderblom,24-25,DET,L,26,331.35,23,14.99,29.25,-0.08,-0.006,0.12,0.06
Elmer Soderblom,25-26,DET,L,25,259.67,23,14.12,27.94,-0.11,0.01,-0.01,0.16
Emil Bemstrom,21-22,CBJ,C,41,385.13,29,14.02,27.93,-0.66,-0.071,0.11,0.1
Emil Bemstrom,22-23,CBJ,R,55,588.7,38,14.5,28.71,-2.79,-0.141,-0.06,-0.09
Emil Bemstrom,23-24,CBJ,R,32,353.67,25,14.54,28.94,-0.72,-0.07,0.12,0.12
Emil Bemstrom,23-24,PIT,C,24,193.32,25,13.31,26.94,0.09,0,0.12,0.09
Emil Bemstrom,24-25,PIT,C,14,112.5,28,13.47,26.49,0.09,-0.017,0.05,0.1
Emil Heineman,24-25,MTL,L,62,640.45,26,13.99,28.15,-0.82,-0.051,-0.04,-0.01
Emil Heineman,25-26,NYI,L,39,534.82,23,15.14,30.48,1.31,0.007,0.2,0.27
Emmitt Finnie,25-26,DET,C,40,567.08,23,15.91,31.49,1.71,0.064,0.28,0.37
Eric Robinson,21-22,CBJ,L,67,762.45,30,14.59,28.99,0.06,-0.047,0.14,0.13
Eric Robinson,22-23,CBJ,L,72,830.42,36,14.38,28.52,-2.08,-0.079,-0.02,-0.05
Eric Robinson,23-24,BUF,L,40,424.63,27,14.04,28.2,0.36,-0.045,0.09,0.11
Eric Robinson,23-24,CBJ,L,7,81.8,21,14.23,28.38,-0.29,-0.041,0.12,0.13
Eric Robinson,24-25,CAR,L,82,935.6,31,14.19,28.76,4.32,0.109,0.2,0.3
Eric Robinson,25-26,CAR,L,32,338.92,23,14.07,27.8,3.31,0.069,0.3,0.14
Eric Staal,22-23,FLA,C,72,818.35,28,13.28,27.78,1.42,0.032,0.14,0.16
Erik Haula,21-22,BOS,L,78,1026.32,30,14.62,29.6,2,0.094,0.4,0.31
Erik Haula,22-23,N.J,L,80,1050.12,26,15.06,29.84,2.36,0.152,0.31,0.39
Erik Haula,23-24,N.J,L,76,1006.03,31,14.6,29.62,0.52,0.022,0.12,0.17
Erik Haula,24-25,N.J,L,69,843.52,31,14.86,29.51,1.04,0.045,0.13,0.14
Erik Haula,25-26,NSH,L,38,469.95,23,14.36,29.41,0.67,-0.012,0.04,0.09
Ethan Cardwell,24-25,S.J,R,6,62.13,22,14.05,28.33,-1.61,-0.096,-0.03,-0.02
Ethan Cardwell,25-26,S.J,R,7,79.85,24,13.7,28.12,-2.69,-0.086,0.06,0.04
Ethen Frank,24-25,WSH,C,24,244.42,22,14.44,28.59,1.73,0.078,0.18,0.26
Ethen Frank,25-26,WSH,C,28,287.95,22,13.89,28.09,1.47,0.055,0.15,0.27
Evan Rodrigues,21-22,PIT,C,82,1083.88,29,15.29,30.02,0.79,0.062,0.26,0.24
Evan Rodrigues,22-23,COL,C,69,1041.3,36,15.81,31.91,1.59,0.044,0.3,0.32
Evan Rodrigues,23-24,FLA,C,80,1034.68,27,14.43,30.04,3.69,0.133,0.3,0.36
Evan Rodrigues,24-25,FLA,C,82,1111.6,28,14.92,29.92,2.76,0.122,0.21,0.26
Evan Rodrigues,25-26,FLA,C,38,515.78,23,14.25,29.74,0.62,0.029,0.18,0.12
Evander Kane,21-22,EDM,L,43,698.58,27,16.04,32.02,2.66,0.129,0.26,0.33
Evander Kane,22-23,EDM,L,41,656.63,25,15.35,31.18,2.15,0.15,0.31,0.38
Evander Kane,23-24,EDM,L,77,1134.73,25,14.87,29.72,2.62,0.161,0.27,0.35
Evander Kane,25-26,VAN,L,37,551.78,32,14.86,30.44,-1.03,-0.066,0.02,0.04
Evgeni Malkin,21-22,PIT,C,41,580.45,27,15.03,29.53,1.13,0.079,0.3,0.24
Evgeni Malkin,22-23,PIT,C,82,1149.8,31,14.99,30.63,1.35,0.114,0.21,0.22
Evgeni Malkin,23-24,PIT,C,82,1192.5,32,15.06,30.47,1,0.037,0.2,0.16
Evgeni Malkin,24-25,PIT,C,68,1008.57,38,15.16,29.89,1.02,0.011,0.12,0.16
Evgeni Malkin,25-26,PIT,C,26,365.75,29,14.73,29.11,-1.09,-0.011,0.1,0.19
Evgeny Dadonov,21-22,VGK,R,78,1021.92,33,15.26,29.84,0.71,0.014,0.19,0.18
Evgeny Dadonov,22-23,DAL,R,23,296.95,22,14.6,29.38,-0.11,0.033,0.36,0.29
Evgeny Dadonov,22-23,MTL,R,50,622.98,29,14.32,29.07,-1.75,-0.103,-0.03,0.02
Evgeny Dadonov,23-24,DAL,R,51,617.47,20,14.51,28.87,2.19,0.139,0.35,0.36
Evgeny Dadonov,24-25,DAL,R,80,982.05,28,14.71,29.76,0.55,0.045,0.27,0.32
Evgeny Dadonov,25-26,N.J,L,5,51.02,21,14.72,28.83,-0.41,-0.027,0.17,0.12
Evgeny Kuznetsov,21-22,WSH,C,79,1171.62,33,15.29,30.45,0.23,0.003,0.26,0.28
Evgeny Kuznetsov,22-23,WSH,C,81,1082.07,33,14.74,29.39,0.11,0.018,0.17,0.22
Evgeny Kuznetsov,23-24,CAR,C,20,260.38,25,14.96,30.16,4.8,0.122,0.2,0.3
Evgeny Kuznetsov,23-24,WSH,C,43,587.37,28,14.96,29.64,-0.9,-0.028,0.04,0.05
Evgeny Svechnikov,21-22,WPG,L,72,767.8,32,14.91,29.73,-0.44,-0.002,0.02,0.06
Evgeny Svechnikov,22-23,S.J,L,59,605.4,36,14.06,28.11,-0.77,-0.007,0.1,0.12
Fabian Lysell,24-25,BOS,R,12,147.75,29,14.5,28.79,-1.83,-0.059,0.15,0.04
Fabian Zetterlund,21-22,N.J,L,14,162.7,27,14.67,28.83,0.15,-0.009,0.23,0.17
Fabian Zetterlund,22-23,N.J,L,45,540.08,22,14.7,29.13,2.58,0.14,0.3,0.29
Fabian Zetterlund,22-23,S.J,L,22,277.42,31,14.85,29.73,-0.97,-0.044,-0.11,0.05
Fabian Zetterlund,23-24,S.J,L,82,1233,34,15.16,30.14,-2.4,-0.101,0.03,0.01
Fabian Zetterlund,24-25,OTT,L,20,247.47,22,14.5,29.54,0.86,0.011,0.27,0.2
Fabian Zetterlund,24-25,S.J,L,64,918.17,31,15.22,30.62,-1.37,-0.102,0.03,0.03
Fabian Zetterlund,25-26,OTT,L,38,502.22,26,14.64,29.48,1.02,0.049,0.21,0.19
Fedor Svechkov,24-25,NSH,C,52,578.1,35,13.93,27.96,0.67,0.02,0.05,0.13
Fedor Svechkov,25-26,NSH,C,36,413.87,23,13.84,28.39,0.35,-0.009,0.15,0.12
Filip Chytil,21-22,NYR,C,67,800.68,31,14.49,28.63,-1.25,-0.038,0.04,0.08
Filip Chytil,22-23,NYR,C,74,963.23,29,14.91,29.6,0.37,-0.018,0.16,0.2
Filip Chytil,23-24,NYR,C,10,142.18,19,15.93,31.9,2.47,0.038,0.23,0.44
Filip Chytil,24-25,NYR,C,41,530.92,26,14.74,29.4,-0.18,-0.031,0.14,0.13
Filip Chytil,24-25,VAN,C,15,204.98,23,14.98,29.65,0.2,0.023,0,0.12
Filip Chytil,25-26,VAN,C,6,84.72,21,15.32,31.45,-0.83,-0.052,-0.03,-0.1
Filip Forsberg,21-22,NSH,L,69,984.43,29,15.45,31.62,-0.12,0.026,0.35,0.25
Filip Forsberg,22-23,NSH,L,50,684.83,26,15,30.66,-0.31,-0.007,0.16,0.08
Filip Forsberg,23-24,NSH,L,82,1191.75,28,14.88,30.49,0.9,0.065,0.21,0.19
Filip Forsberg,24-25,NSH,L,82,1190.37,37,15.03,30.21,-0.01,-0.014,0.03,0.11
Filip Forsberg,25-26,NSH,L,38,564.93,23,14.52,29.79,1.01,0.025,0.22,0.17
Filip Hallander,25-26,PIT,C,13,153.77,22,15.05,29.73,0.44,0.01,0.02,0.13
Filip Zadina,21-22,DET,R,74,897.62,32,14.68,29.09,-1.77,-0.062,0.03,0.01
Filip Zadina,22-23,DET,R,30,365.47,28,14.09,28.53,-1.46,-0.05,0.08,0.1
Filip Zadina,23-24,S.J,R,72,853.48,33,14.6,29.04,-2.1,-0.123,-0.05,-0.09
Frank Nazar,24-25,CHI,C,53,699.95,31,15.31,29.88,-1.96,-0.075,0.06,0.06
Frank Nazar,25-26,CHI,C,33,442.83,24,14.31,28.74,-1.05,-0.101,0.04,0.05
Frank Vatrano,21-22,FLA,C,49,552.55,29,14.01,28.32,2.5,0.11,0.32,0.28
Frank Vatrano,21-22,NYR,C,22,309.65,25,15.75,31.08,0.78,0.055,0.24,0.27
Frank Vatrano,22-23,ANA,R,81,1128.35,32,14.63,29.21,-3.42,-0.201,-0.12,-0.14
Frank Vatrano,23-24,ANA,R,82,1097.02,32,14.59,30.18,-1.39,-0.041,0.1,0.09
Frank Vatrano,24-25,ANA,R,81,1100.52,28,15.36,30.68,0.03,-0.029,0.12,0.11
Frank Vatrano,25-26,ANA,R,38,398.83,21,13.87,28.07,0.69,0.047,0.21,0.28
Fraser Minten,24-25,BOS,C,6,81.48,21,13.74,27.09,-1.27,-0.052,0.03,0.02
Fraser Minten,24-25,TOR,C,15,162.4,25,13.9,27.78,-0.44,-0.033,0.12,0.14
Fraser Minten,25-26,BOS,C,40,483.88,28,13.97,28.83,-0.47,-0.021,0.15,0.04
Frederick Gaudreau,21-22,MIN,C,76,946.8,32,14.57,29.81,1.54,0.101,0.52,0.53
Frederick Gaudreau,22-23,MIN,C,82,1021.53,34,14.76,29.56,0.53,0.036,0.16,0.2
Frederick Gaudreau,23-24,MIN,C,67,721.18,31,13.83,28.25,-0.01,0.004,0.17,0.16
Frederick Gaudreau,24-25,MIN,C,82,1017.75,31,15.13,29.61,-0.25,0.017,0.16,0.15
Frederick Gaudreau,25-26,SEA,C,24,318.12,24,14.55,28.61,-1.85,-0.135,-0.06,-0.05
Frederik Gauthier,21-22,N.J,C,8,66.07,20,14.23,27.99,0.11,-0.006,0.08,0.07
Fredrik Olofsson,22-23,DAL,L,28,282.85,23,13.77,27.73,1.31,0.04,0.13,0.21
Fredrik Olofsson,23-24,COL,L,57,477.47,30,12.64,25.8,1.05,0.007,0.21,0.21
Gabe Perreault,24-25,NYR,R,5,65.43,21,15.01,29.91,0.54,-0.017,0.17,0.18
Gabe Perreault,25-26,NYR,R,8,102.57,21,15.27,30.06,-0.79,-0.004,0.14,0.14
Gabriel Fortier,21-22,T.B,L,10,92.52,25,13.9,27.96,0.59,0.024,0.08,0.15
Gabriel Landeskog,21-22,COL,L,51,791.07,26,16.64,33.8,2.63,0.116,0.51,0.45
Gabriel Landeskog,25-26,COL,L,38,494.4,23,14.71,30.12,4.02,0.185,0.59,0.61
Gabriel Vilardi,21-22,L.A,C,25,289.38,30,13.73,27.28,-0.04,0.001,0,0.04
Gabriel Vilardi,22-23,L.A,C/R,63,772.55,27,14.42,29.13,1.52,0.047,0.26,0.24
Gabriel Vilardi,23-24,WPG,C,47,624.77,26,15.71,31.62,0.91,0.004,0.24,0.25
Gabriel Vilardi,24-25,WPG,C,71,1055.85,26,16.85,32.94,-0.51,0.057,0.32,0.36
Gabriel Vilardi,25-26,WPG,C,37,561.57,24,16.42,33.31,0.63,0.019,0.44,0.53
Gage Goncalves,24-25,T.B,C,60,732.7,25,14.3,28.22,0.67,0.01,0.24,0.23
Gage Goncalves,25-26,T.B,C,34,365.6,29,13.79,28.63,1.25,0.076,0.3,0.34
