Player,Season,Team,Position,GP,TOI,TM #,TOI/GP,TOI%,RAPM_CA/60,RAPM_xGA/60,GAR/60,xGAR/60
Alex Barre-Boulet,23-24,T.B,C,36,365.7,26,14.86,29.86,0.73,0.007,0.16,0.22
Alex Belzile,21-22,MTL,R,11,97.3,29,13,26.25,-0.96,-0.026,0.04,0.12
Alex Belzile,22-23,MTL,R,31,337.83,30,13.69,27.61,-2.39,-0.073,0.09,0.08
Alex Chiasson,21-22,VAN,R,67,639.12,32,14.45,28.7,-0.04,-0.003,0.11,0.11
Alex Chiasson,22-23,DET,R,20,177.55,23,13.79,27.89,-2.19,-0.054,0.04,0.15
Alex Chmelevski,21-22,S.J,C,19,235,25,14.58,28.72,-2.18,-0.049,-0.03,0.03
Alex Debrincat,21-22,CHI,L/R,82,1310.78,35,15.69,31.07,-1.67,-0.068,0.16,0.12
Alex Debrincat,22-23,OTT,R,82,1177.65,33,14.77,31.11,1.76,0.081,0.21,0.24
Alex Debrincat,23-24,DET,R,82,1188.55,22,15.02,30.28,-0.41,-0.022,0.23,0.31
Alex Debrincat,24-25,DET,R,82,1170.35,25,15.53,30.31,-0.22,-0.023,0.09,0.05
Alex Debrincat,25-26,DET,R,40,561.1,23,15.01,29.69,0.06,0.006,0.15,0.14
Alex Formenton,21-22,OTT,L,79,989.22,36,14.77,29.74,-0.22,-0.034,0.05,0.07
Alex Galchenyuk,21-22,ARI,C,60,731.47,33,14.55,28.85,-2.36,-0.126,-0.02,-0.01
Alex Galchenyuk,22-23,COL,C,11,73.12,31,13.45,27.1,0.2,-0.008,0.06,0.12
Alex Holtz,21-22,N.J,R,9,89.87,28,14.97,29.43,0.3,0.016,0.2,0.19
Alex Holtz,22-23,N.J,R,19,157.15,21,14.4,28.55,1.52,0.077,0.25,0.24
Alex Holtz,23-24,N.J,R,82,840.85,31,14.18,28.76,0.8,0.042,0.14,0.19
Alex Holtz,24-25,VGK,R,53,581.52,28,14.79,28.33,0.41,0.048,0.13,0.13
Alex Holtz,25-26,VGK,R,11,132.45,21,14.98,28.68,0.33,0.002,0.07,0.12
Alex Iafallo,21-22,L.A,L,79,1085.52,34,15.25,30.4,2.12,0.079,0.19,0.22
Alex Iafallo,22-23,L.A,L,59,738.22,27,14.79,29.86,1.74,0.057,0.22,0.27
Alex Iafallo,23-24,WPG,L,82,988.15,26,15.07,30.35,0.7,0.012,0.26,0.22
Alex Iafallo,24-25,WPG,L,82,813.42,28,14.59,28.53,0.9,0.073,0.23,0.22
Alex Iafallo,25-26,WPG,L,37,423.88,24,14.46,29.29,0.4,-0.018,0.04,0.14
Alex Kerfoot,21-22,TOR,C,82,1076.42,33,15.29,30.24,1.86,0.113,0.35,0.34
Alex Kerfoot,22-23,TOR,C,82,987.42,41,14.48,29.24,0.97,0.09,0.28,0.3
Alex Kerfoot,23-24,ARI,C,82,1038.17,34,14.28,28.93,-0.43,-0.01,0.12,0.13
Alex Kerfoot,24-25,UTA,C,81,984.97,26,14.5,28.83,1.32,0.038,0.17,0.17
Alex Killorn,21-22,T.B,C/L,82,1078.53,28,15.18,30.65,1.81,0.095,0.37,0.42
Alex Killorn,22-23,T.B,L,82,1047.43,26,14.85,30.14,0.66,0.056,0.22,0.16
Alex Killorn,23-24,ANA,C/L,63,923.7,32,14.98,30.93,-0.95,-0.019,0.14,0.1
Alex Killorn,24-25,ANA,L,82,1053.18,28,14.71,29.4,-2.13,-0.082,0.13,0.03
Alex Killorn,25-26,ANA,L,39,465.75,21,13.95,28.24,0.7,0.016,0.19,0.21
Alex Laferriere,23-24,L.A,R,81,1005.28,25,14.26,28.92,2.08,0.076,0.19,0.15
Alex Laferriere,24-25,L.A,R,77,1106.68,26,15.25,30.24,3.01,0.124,0.3,0.35
Alex Laferriere,25-26,L.A,R,38,501.77,20,14.78,29.92,0.97,0.017,0.16,0.13
Alex Newhook,21-22,COL,C,71,853.52,32,13.98,28.42,0.99,0.029,0.22,0.24
Alex Newhook,22-23,COL,C,82,1010.97,36,14.41,29.02,1.48,0.054,0.19,0.22
Alex Newhook,23-24,MTL,C,55,740.97,28,14.55,29.27,0.09,0.003,0.15,0.28
Alex Newhook,24-25,MTL,C,82,1092.1,27,14.47,29.1,-1.88,-0.079,-0.06,0
Alex Newhook,25-26,MTL,C,17,205.9,21,14.56,29.07,-1.74,-0.031,0.29,0.28
Alex Nylander,22-23,PIT,L,9,108.95,22,14.63,29.89,1.34,0.07,0.14,0.14
Alex Nylander,23-24,CBJ,L,23,330.23,29,15.25,30.3,0,-0.027,0.09,0.13
Alex Nylander,23-24,PIT,L,5,57.73,19,14.4,29.16,1.1,0.052,0.15,0.27
Alex Ovechkin,21-22,WSH,L,77,1167.17,34,15.19,30.26,0.05,0.016,0.19,0.23
Alex Ovechkin,22-23,WSH,L,73,1076.03,32,14.79,29.53,0.13,0.024,0.18,0.2
Alex Ovechkin,23-24,WSH,L,79,1122.45,31,15.27,30.26,-0.02,0.031,0.04,0.1
Alex Ovechkin,24-25,WSH,L,65,840.62,25,15.33,30.39,0.35,0.007,0.27,0.31
Alex Ovechkin,25-26,WSH,L,39,500.93,23,15.08,30.45,1.22,0.073,0.32,0.35
Alex Radulov,21-22,DAL,R,71,828.58,24,14.54,28.9,-0.92,0.002,0.06,0.08
Alex Steeves,24-25,TOR,C,7,67.18,23,13.4,26.71,-0.03,0.008,0.16,0.12
Alex Steeves,25-26,BOS,C,23,238.5,26,14.26,29.39,-0.59,-0.062,0.13,0.05
Alex Texier,21-22,CBJ,C,36,451.05,26,14.95,29.75,-0.16,-0.069,0.09,0.05
Alex Texier,23-24,CBJ,C,78,991.15,35,14.71,29.26,-0.42,-0.056,0.11,0.12
Alex Texier,24-25,STL,C,31,357.13,26,14.96,28.96,-0.15,0.017,0.21,0.26
Alex Texier,25-26,MTL,L,16,204.55,22,14.3,28.52,-0.72,-0.038,0.1,0.16
Alex Texier,25-26,STL,L,8,75.6,21,14.13,27.92,-1.37,-0.027,0.07,0.09
Alex True,21-22,SEA,C,8,65.83,24,14.09,28.05,-0.47,-0.043,0.18,0.08
Alex Tuch,21-22,BUF,R,50,679.42,29,15.49,30.51,-0.13,-0.043,0.14,0.21
Alex Tuch,22-23,BUF,R,74,1038.15,28,15.72,31.43,1.51,0.034,0.3,0.27
Alex Tuch,23-24,BUF,R,75,1089.58,29,15.35,30.79,1.19,-0.027,0.22,0.19
Alex Tuch,24-25,BUF,R,82,1140.15,29,15.15,30.46,0.81,-0.015,0.31,0.26
Alex Tuch,25-26,BUF,R,37,517.23,26,15.12,30.29,0.72,0.031,0.34,0.36
Alex Turcotte,21-22,L.A,C,8,86.97,22,14.12,28.25,-0.83,-0.03,0.08,-0.07
Alex Turcotte,23-24,L.A,C,20,181.8,22,13.94,28.24,1.88,0.082,0.17,0.16
Alex Turcotte,24-25,L.A,C,68,737.28,26,14.71,29.18,1.37,0.062,0.28,0.27
Alex Turcotte,25-26,L.A,C,37,353.13,20,13.83,27.97,0.9,0.039,0.16,0.16
Alex Wennberg,21-22,SEA,C,80,1156.72,34,14.81,29.48,-0.32,-0.039,0.16,0.14
Alex Wennberg,22-23,SEA,C,82,1124.73,25,15.03,30.11,1.9,0.033,0.21,0.32
Alex Wennberg,23-24,NYR,C,19,249.37,20,14.04,28.08,1.02,-0.012,0.12,0.28
Alex Wennberg,23-24,SEA,C,60,830.55,27,14.77,29.32,0.59,0.001,0.12,0.04
Alex Wennberg,24-25,S.J,C,77,1055.23,39,14.68,29.49,-1.7,-0.085,0.02,0
Alex Wennberg,25-26,S.J,C,39,566.38,26,14.73,30.25,-0.81,-0.04,0.21,0.22
Alexei Toropchenko,21-22,STL,R,28,295.5,27,13.99,27.8,-1.17,-0.003,0.11,0.27
Alexei Toropchenko,22-23,STL,R,69,742.65,32,13.94,27.74,-1.77,-0.093,0.12,0.08
Alexei Toropchenko,23-24,STL,R,82,922.28,28,14.22,28.5,-1.39,-0.092,0,-0.03
Alexei Toropchenko,24-25,STL,R,80,886.05,27,14.54,28.14,-0.05,-0.019,0.13,0.19
Alexei Toropchenko,25-26,STL,R,24,254.43,27,14.37,28.36,-1.63,-0.025,0.14,0.06
Alexis Lafrenière,21-22,NYR,L,79,989.48,30,14.85,29.33,-0.04,0.005,0.09,0.12
Alexis Lafrenière,22-23,NYR,L,81,1096.38,29,15.06,29.89,0.6,0.007,0.21,0.24
Alexis Lafrenière,23-24,NYR,L,82,1270.88,31,15.87,31.77,2.23,0.071,0.29,0.38
Alexis Lafrenière,24-25,NYR,L,82,1231.6,34,15.58,31.1,0.58,-0.024,0.13,0.2
Alexis Lafrenière,25-26,NYR,L,41,604.7,25,16.11,31.72,0.54,0.007,0.2,0.17
Aliaksei Protas,21-22,WSH,C,33,355.1,27,14.48,28.84,0.27,0.015,0.18,0.2
Aliaksei Protas,22-23,WSH,C,58,644.15,31,14.28,28.54,0.86,0.039,0.22,0.29
Aliaksei Protas,23-24,WSH,C,78,973.58,31,14.8,29.3,-0.46,0.012,0.16,0.21
Aliaksei Protas,24-25,WSH,C,76,1096.32,26,15.16,30.04,0.39,0.035,0.26,0.29
Aliaksei Protas,25-26,WSH,C,39,594.42,23,14.86,30.06,2.23,0.097,0.34,0.39
Anders Bjork,21-22,BUF,L,58,655.82,31,14.17,27.87,-1.21,-0.068,-0.01,0.02
Anders Bjork,22-23,CHI,L,13,164.93,26,14.18,28.25,-1.89,-0.045,0.11,0.06
Anders Lee,21-22,NYI,C/L,76,1033.47,26,15.36,30.16,-1.25,-0.031,0.07,0.13
Anders Lee,22-23,NYI,L,82,1107.42,34,15.11,30.09,-0.01,0.005,0.26,0.27
Anders Lee,23-24,NYI,L,81,1089.72,24,15.71,30.83,0.31,0.043,0.21,0.2
Anders Lee,24-25,NYI,L,82,1138.18,30,15.73,30.78,0.96,0.038,0.17,0.21
Anders Lee,25-26,NYI,L,39,512.25,23,14.85,29.86,-0.42,-0.025,0.04,0.03
Andre Burakovsky,21-22,COL,L,80,1123.38,32,15.55,31.62,2.66,0.092,0.4,0.39
Andre Burakovsky,22-23,SEA,L,49,670.42,23,15.24,30.52,1.3,0.029,0.28,0.3
Andre Burakovsky,23-24,SEA,L,49,590.42,27,14.9,29.58,0.86,0.023,0.17,0.12
Andre Burakovsky,24-25,SEA,L,79,988.85,29,14.99,29.76,-1.05,-0.07,0.21,0.12
Andre Burakovsky,25-26,CHI,L,33,477.67,24,14.88,29.88,-1.63,-0.096,0.12,0.02
Andre Lee,24-25,L.A,L,19,171.42,22,13.5,26.78,0.23,0.024,0.14,0.14
Andreas Athanasiou,21-22,L.A,C,28,370.58,28,14.72,29.34,1.93,0.056,0.16,0.18
Andreas Athanasiou,22-23,CHI,C,81,1109.13,37,14.95,29.75,-2.05,-0.084,0.03,0.02
Andreas Athanasiou,23-24,CHI,C,28,333.25,28,14.47,29.11,-3.38,-0.178,-0.15,-0.17
Andreas Athanasiou,24-25,CHI,C,8,78.63,25,14.65,28.68,-1.9,-0.104,0.02,0.06
Andreas Johnsson,21-22,N.J,L,71,920.3,32,15.02,29.53,-0.05,0.01,0.17,0.18
Andreas Johnsson,22-23,S.J,L,11,145.6,23,15.25,30.53,-0.48,-0.043,0.08,0.12
Andrei Kuzmenko,22-23,VAN,L,81,1041.5,36,14.92,29.91,-0.36,0.007,0.26,0.18
Andrei Kuzmenko,23-24,CGY,L,29,363.6,26,14.91,29.9,0.57,-0.006,0.13,0.21
Andrei Kuzmenko,23-24,VAN,L,43,460.12,25,14.55,29.72,1.99,0.079,0.36,0.3
Andrei Kuzmenko,24-25,CGY,L,37,453.95,26,15.13,29.98,0.72,-0.043,0.02,0.02
Andrei Kuzmenko,24-25,L.A,L,22,278.7,24,15.59,30.91,1.87,0.071,0.33,0.34
Andrei Kuzmenko,24-25,PHI,L,7,101.35,21,15.51,30.19,-1.35,0.048,0.14,0.14
Andrei Kuzmenko,25-26,L.A,L,33,363.17,20,14.58,29.5,1.27,0.01,0.22,0.14
Andrei Svechnikov,21-22,CAR,R,78,1073.83,24,14.62,29.83,2.41,0.096,0.27,0.25
Andrei Svechnikov,22-23,CAR,R,64,924.2,24,14.78,29.91,4.06,0.164,0.34,0.34
Andrei Svechnikov,23-24,CAR,R,59,826.35,23,14.74,29.68,4.5,0.125,0.25,0.33
Andrei Svechnikov,24-25,CAR,R,72,950.78,30,14.73,29.89,4.73,0.119,0.22,0.33
Andrei Svechnikov,25-26,CAR,R,38,502.68,24,15.13,29.9,4.19,0.089,0.33,0.34
Andrew Agozzino,22-23,S.J,L,4,56.1,20,14.79,29.62,-0.41,-0.026,0.06,0.13
Andrew Cogliano,21-22,COL,C,18,168.63,22,13.48,27.29,0.91,0.018,0.1,0.16
Andrew Cogliano,21-22,S.J,C,56,618.98,32,14.48,28.56,-2.73,-0.059,0.07,0.05
Andrew Cogliano,22-23,COL,C,79,833.68,36,14.23,28.68,0.88,0.039,0.21,0.17
Andrew Cogliano,23-24,COL,C,75,618.37,32,13,26.56,0.84,-0.006,0.18,0.15
Andrew Copp,21-22,NYR,C,16,213.83,23,15.92,31.43,0.22,-0.016,0.19,0.18
Andrew Copp,21-22,WPG,C,56,809.32,30,15.44,30.79,0.34,0.005,0.11,0.13
Andrew Copp,22-23,DET,C,82,1103.13,30,14.5,29.33,-1.16,-0.038,0.11,0.12
Andrew Copp,23-24,DET,C,79,1018.03,23,14.19,28.68,-1.89,-0.051,0.14,0.14
Andrew Copp,24-25,DET,C,56,728.02,24,15.07,29.45,-1.12,-0.061,0.07,0.02
Andrew Copp,25-26,DET,C,40,496.23,23,14.73,29.15,-0.02,0.009,0.14,0.2
Andrew Ladd,21-22,ARI,L,51,591.77,35,14.54,28.84,-2.48,-0.132,-0.03,-0.01
Andrew Mangiapane,21-22,CGY,L,82,1015.7,26,14.51,29.13,3.14,0.078,0.24,0.23
Andrew Mangiapane,22-23,CGY,L,82,1093.23,27,14.95,30.36,4.03,0.126,0.23,0.27
Andrew Mangiapane,23-24,CGY,L,75,1033.37,34,15.39,30.98,1.86,0.032,0.14,0.24
Andrew Mangiapane,24-25,WSH,L,81,931.93,26,14.21,28.18,0.74,0.033,0.11,0.16
Andrew Mangiapane,25-26,EDM,L,39,493.93,28,15.19,29.82,0.55,0.012,0.13,0.18
Andy Andreoff,21-22,NYI,C,6,58.9,26,13.79,27.38,-0.93,-0.027,-0.07,0
Angus Crookshank,23-24,OTT,L,13,127.72,22,14.43,29.31,0.25,0.009,0.13,0.15
Angus Crookshank,24-25,OTT,L,8,77.88,23,13.8,28.08,-0.54,-0.023,0.2,0.12
Angus Crookshank,25-26,N.J,C,8,68.82,21,13.3,26.07,-2.15,-0.095,-0.19,-0.2
