,season,playerId,Player,positionCode,gamesPlayed,ot_goals,goals_down_by_one,goals_when_tied,ot_goals_per_game,goals_down_by_one_per_game,goals_when_tied_per_game,clutch_score,log,log_adjusted
1714,2023-2024,8482113,Anton Lundell,C,78,1,2.0,3.0,0.01282051282051282,0.02564102564102564,0.038461538461538464,2.756410256410257,1.3234637823274757,13.23
1715,2021-2022,8482116,Tim Stützle,C,79,1,2.0,11.0,0.012658227848101266,0.02531645569620253,0.13924050632911392,6.265822784810126,1.9831815438525449,19.83
1716,2022-2023,8482116,Tim Stützle,C,78,1,6.0,9.0,0.01282051282051282,0.07692307692307693,0.11538461538461539,7.756410256410258,2.1697860328811984,21.7
1717,2023-2024,8482116,Tim Stützle,C,75,2,6.0,3.0,0.02666666666666667,0.08,0.04,5.533333333333334,1.876917277568362,18.77
1722,2021-2022,8482124,Quinton Byfield,R,40,0,0.0,1.0,0.0,0.0,0.025,0.8749999999999999,0.6286086594223741,6.29
1723,2022-2023,8482124,Quinton Byfield,R,53,0,0.0,2.0,0.0,0.0,0.03773584905660377,1.320754716981132,0.8418924418202958,8.42
1724,2023-2024,8482124,Quinton Byfield,R,80,0,4.0,7.0,0.0,0.05,0.0875,5.3125,1.8425317946014783,18.43
1738,2021-2022,8482149,Cole Perfetti,C,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1739,2022-2023,8482149,Cole Perfetti,C,51,0,0.0,3.0,0.0,0.0,0.058823529411764705,2.0588235294117645,1.1180303745252111,11.18
1740,2023-2024,8482149,Cole Perfetti,C,71,0,1.0,5.0,0.0,0.014084507042253521,0.07042253521126761,3.0985915492957745,1.410643390130177,14.11
1743,2023-2024,8482155,Alex Laferriere,R,81,0,2.0,5.0,0.0,0.024691358024691357,0.06172839506172839,3.2716049382716053,1.4519896203852856,14.52
1744,2022-2023,8482157,Will Cuylle,L,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1745,2023-2024,8482157,Will Cuylle,L,81,0,2.0,7.0,0.0,0.024691358024691357,0.08641975308641975,4.135802469135802,1.6362361055888244,16.36
1746,2022-2023,8482159,Tyson Foerster,R,8,0,1.0,0.0,0.0,0.125,0.0,5.625,1.890850371872286,18.91
1747,2023-2024,8482159,Tyson Foerster,R,77,0,5.0,5.0,0.0,0.06493506493506493,0.06493506493506493,5.194805194805195,1.8237110690346574,18.24
1750,2021-2022,8482175,JJ Peterka,R,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1751,2022-2023,8482175,JJ Peterka,R,77,0,4.0,2.0,0.0,0.05194805194805195,0.025974025974025976,3.2467532467532463,1.4461547490435693,14.46
1752,2023-2024,8482175,JJ Peterka,R,82,0,3.0,12.0,0.0,0.036585365853658534,0.14634146341463414,6.7682926829268295,2.0500504083079103,20.5
1770,2022-2023,8482259,Bobby McMann,C,10,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1771,2023-2024,8482259,Bobby McMann,C,56,0,2.0,3.0,0.0,0.03571428571428571,0.05357142857142857,3.482142857142857,1.5001012483966347,15.0
1780,2023-2024,8482476,Emil Heineman,L,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1795,2021-2022,8482660,Kent Johnson,C,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1796,2022-2023,8482660,Kent Johnson,C,79,1,1.0,9.0,0.012658227848101266,0.012658227848101266,0.11392405063291139,4.810126582278481,1.7596023575935236,17.6
1797,2023-2024,8482660,Kent Johnson,C,42,1,2.0,1.0,0.023809523809523808,0.047619047619047616,0.023809523809523808,3.4523809523809526,1.4934389985712184,14.93
1798,2021-2022,8482665,Matty Beniers,C,10,0,1.0,1.0,0.0,0.1,0.1,8.0,2.1972245773362196,21.97
1799,2022-2023,8482665,Matty Beniers,C,80,1,3.0,7.0,0.0125,0.0375,0.0875,5.0,1.791759469228055,17.92
1800,2023-2024,8482665,Matty Beniers,C,77,0,3.0,2.0,0.0,0.03896103896103896,0.025974025974025976,2.662337662337662,1.2981016490844297,12.98
1801,2021-2022,8482667,William Eklund,L,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1802,2022-2023,8482667,William Eklund,L,8,0,0.0,1.0,0.0,0.0,0.125,4.375,1.6817585740137264,16.82
1803,2023-2024,8482667,William Eklund,L,80,2,2.0,7.0,0.025,0.025,0.0875,4.6875,1.7382707842770688,17.38
1804,2022-2023,8482679,Matt Coronato,R,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1805,2023-2024,8482679,Matt Coronato,R,34,0,1.0,1.0,0.0,0.029411764705882353,0.029411764705882353,2.3529411764705883,1.209837923778334,12.1
1807,2022-2023,8482699,Dylan Guenther,R,33,0,2.0,1.0,0.0,0.06060606060606061,0.030303030303030304,3.787878787878788,1.5660874715604867,15.66
1808,2023-2024,8482699,Dylan Guenther,R,45,1,4.0,5.0,0.022222222222222223,0.08888888888888889,0.1111111111111111,8.333333333333332,2.2335922215070942,22.34
1809,2023-2024,8482702,Logan Stankoven,C,24,0,3.0,1.0,0.0,0.125,0.041666666666666664,7.083333333333333,2.0898043287153825,20.9
1816,2022-2023,8482720,Matthew Knies,L,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1817,2023-2024,8482720,Matthew Knies,L,80,0,4.0,7.0,0.0,0.05,0.0875,5.3125,1.8425317946014783,18.43
1818,2023-2024,8482737,Zachary Bolduc,R,25,0,0.0,3.0,0.0,0.0,0.12,4.199999999999999,1.6486586255873816,16.49
1819,2022-2023,8482740,Wyatt Johnston,C,82,0,4.0,8.0,0.0,0.04878048780487805,0.0975609756097561,5.609756097560975,1.888546754175393,18.89
1820,2023-2024,8482740,Wyatt Johnston,C,82,0,5.0,7.0,0.0,0.06097560975609756,0.08536585365853659,5.7317073170731705,1.906828799012842,19.07
1822,2021-2022,8482745,Mason McTavish,C,9,0,0.0,1.0,0.0,0.0,0.1111111111111111,3.8888888888888884,1.5869650565820417,15.87
1823,2022-2023,8482745,Mason McTavish,C,80,0,6.0,4.0,0.0,0.075,0.05,5.125,1.8123787564307907,18.12
1824,2023-2024,8482745,Mason McTavish,C,64,1,2.0,6.0,0.015625,0.03125,0.09375,5.0,1.791759469228055,17.92
1831,2023-2024,8482809,Jackson Blake,R,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1844,2023-2024,8483431,Logan Cooley,C,82,1,2.0,8.0,0.012195121951219513,0.024390243902439025,0.0975609756097561,4.7560975609756095,1.7502597383213023,17.5
1858,2022-2023,8483524,Shane Wright,C,8,0,1.0,0.0,0.0,0.125,0.0,5.625,1.890850371872286,18.91
1859,2023-2024,8483524,Shane Wright,C,8,0,0.0,2.0,0.0,0.0,0.25,8.75,2.277267285009756,22.77
1877,2023-2024,8484144,Connor Bedard,C,68,1,6.0,9.0,0.014705882352941176,0.08823529411764706,0.1323529411764706,8.897058823529411,2.292237624468621,22.92
1880,2023-2024,8484153,Leo Carlsson,C,55,0,4.0,0.0,0.0,0.07272727272727272,0.0,3.272727272727273,1.4522523289116882,14.52
1881,2023-2024,8484166,Adam Fantilli,C,49,0,3.0,7.0,0.0,0.061224489795918366,0.14285714285714285,7.755102040816326,2.16963662081739,21.7
